time,open,high,low,close,tick_volume,spread,real_volume
2021-07-13 17:30:00,1814.22,1814.49,1810.79,1811.43,2429.0,12,0.0
2021-07-13 17:45:00,1811.4,1812.84,1811.04,1812.84,2016.0,21,0.0
2021-07-13 18:00:00,1812.77,1813.58,1812.06,1812.4,1624.0,11,0.0
2021-07-13 18:15:00,1812.4,1812.56,1810.59,1812.37,1180.0,20,0.0
2021-07-13 18:30:00,1812.36,1814.2,1812.31,1814.08,1124.0,19,0.0
2021-07-13 18:45:00,1814.08,1814.93,1812.38,1813.31,1321.0,18,0.0
2021-07-13 19:00:00,1813.31,1813.96,1812.83,1813.4,1194.0,29,0.0
2021-07-13 19:15:00,1813.41,1813.99,1812.83,1813.07,1118.0,21,0.0
2021-07-13 19:30:00,1813.08,1813.33,1811.71,1811.92,915.0,22,0.0
2021-07-13 19:45:00,1811.92,1812.1,1811.26,1811.53,888.0,32,0.0
2021-07-13 20:00:00,1811.51,1811.62,1808.81,1808.89,1491.0,17,0.0
2021-07-13 20:15:00,1808.89,1809.9,1808.06,1809.8,1627.0,15,0.0
2021-07-13 20:30:00,1809.64,1809.64,1807.07,1807.94,1830.0,16,0.0
2021-07-13 20:45:00,1807.94,1808.5,1807.08,1807.33,1778.0,26,0.0
2021-07-13 21:00:00,1807.3,1807.38,1805.17,1806.67,1700.0,23,0.0
2021-07-13 21:15:00,1806.55,1809.6,1806.24,1809.1,1257.0,12,0.0
2021-07-13 21:30:00,1809.09,1809.33,1808.2,1808.37,1246.0,25,0.0
2021-07-13 21:45:00,1808.34,1808.44,1807.22,1807.39,874.0,11,0.0
2021-07-13 22:00:00,1807.4,1808.84,1806.85,1808.73,681.0,22,0.0
2021-07-13 22:15:00,1808.73,1809.0,1807.63,1807.65,585.0,29,0.0
2021-07-13 22:30:00,1807.65,1807.87,1806.44,1807.53,873.0,18,0.0
2021-07-13 22:45:00,1807.53,1809.57,1806.79,1808.46,956.0,29,0.0
2021-07-13 23:00:00,1808.39,1808.75,1807.77,1807.9,499.0,31,0.0
