entry_step,exit_step,entry_date,exit_date,type,entry_price,exit_price,position_size,notional_size,pnl_usd,pnl_pct,fee,net_pnl
179,180,2002-02-04,2002-02-05,LONG,291.5,297.8,1036.6397957227691,5183.198978613846,560.1055500045846,54.03087478559186,1.036639795722769,559.0689102088619
182,183,2002-02-07,2002-02-08,LONG,302.9,304.0,1092.5466867436553,5462.7334337182765,99.19126406553696,9.078903928689524,1.0925466867436553,98.0987173787933
187,188,2002-02-14,2002-02-15,LONG,300.1,298.1,1102.3565584815346,5511.782792407674,-183.66487145643697,-16.661112962345886,1.1023565584815347,-184.76722801491852
193,195,2002-02-22,2002-02-26,LONG,293.0,298.0,1083.8798356800428,5419.399178400214,462.40607324233906,42.66211604095563,1.0838798356800428,461.32219340665904
197,198,2002-02-28,2002-03-01,LONG,296.8,298.4,1130.0120550207087,5650.060275103543,152.29272978715426,13.477088948786776,1.1300120550207087,151.16271773213356
200,201,2002-03-05,2002-03-06,LONG,294.6,293.8,1145.128326793922,5725.64163396961,-77.74123060379756,-6.788866259334786,1.145128326793922,-78.88635893059148
204,206,2002-03-11,2002-03-13,LONG,290.9,293.6,1137.2396909008628,5686.198454504314,263.88339338538856,23.203850120316652,1.1372396909008629,262.7461536944877
208,209,2002-03-15,2002-03-18,LONG,290.3,292.8,1163.5143062703116,5817.571531351558,250.4982574643282,21.529452290733722,1.1635143062703117,249.33474315805788
211,212,2002-03-20,2002-03-21,LONG,292.6,293.4,1188.4477805861172,5942.238902930586,81.23361453083047,6.835269993164342,1.1884477805861173,80.04516675024435
213,214,2002-03-22,2002-03-25,LONG,298.0,298.6,1196.4522972611417,5982.261486305708,60.22410892254296,5.0335570469800555,1.1964522972611416,59.02765662528182
218,219,2002-03-29,2002-04-01,LONG,302.7,303.0,1202.3550629236697,6011.775314618349,29.790759735473618,2.477700693756288,1.2023550629236697,28.58840467254995
223,224,2002-04-05,2002-04-08,LONG,300.3,300.7,1205.213903390925,6026.069516954625,40.133663116578646,3.3300033300031417,1.205213903390925,38.92844921318772
