Date,Close,retorno_log,precio_vwap_ratio,MACD_Histograma,volumen_cambio
1996-05-20,391.1,-0.0033184459297394,-0.007629575930271,0.0355335492835717,0.3468208092485549
1996-05-21,391.3,0.0005112474548983,-0.006923528910119,0.0004075639886205,0.0751072961373391
1996-05-22,391.5,0.000510986214491,-0.0063152065300213,-0.0038215199958441,-0.4790419161676646
1996-05-23,392.0,0.0012763243596046,-0.0049988823228191,0.0306906799217656,-0.3448275862068966
1996-05-24,390.7,-0.0033218377294377,-0.0082797408480526,-0.0272657656420358,-0.7309941520467836
1996-05-27,391.2,0.0012789360996374,-0.0069924002969212,-0.0252076550663395,0.108695652173913
1996-05-28,391.6,0.0010219724956931,-0.0058848697662198,0.0080342140283614,5.686274509803922
1996-05-29,391.5,-0.0002553952254975,-0.0060441257528811,0.0271517216176376,0.0
1996-05-30,390.9,-0.0015337426319487,-0.0075037610200411,0.0044434655370729,-0.5131964809384164
1996-05-31,391.0,0.0002557871864566,-0.0070958793945226,0.0013722725109409,2.0180722891566263
1996-06-03,390.7,-0.0007675579243408,-0.0078276326798802,-0.0147599860263147,-0.8383233532934131
1996-06-04,388.3,-0.0061617653234031,-0.0135737750220619,-0.1722164407644827,6.851851851851852
1996-06-05,386.5,-0.004646368710145,-0.0178381628381099,-0.3713149218399361,-0.3144654088050315
1996-06-06,386.1,-0.0010354647572859,-0.0182796727057381,-0.4958857157500433,0.6307339449541285
1996-06-07,385.6,-0.0012958405338,-0.019170614503113,-0.5724653348540483,-0.2742616033755274
1996-06-10,386.5,0.002331305291086,-0.0167590258561986,-0.5243010915172508,-0.6686046511627908
1996-06-11,384.8,-0.0044081492359252,-0.0204735893218094,-0.5652055987992688,3.3625730994152043
1996-06-12,384.2,-0.0015604684570952,-0.0216996966276493,-0.5883047434690198,-0.4959785522788204
1996-06-13,384.7,0.0013005594237931,-0.0201941177779526,-0.5274926407559826,-0.199468085106383
1996-06-14,384.9,0.000519750531451,-0.0194661070256056,-0.4352175014419817,-0.0996677740863787
1996-06-17,385.6,0.0018170024466901,-0.0175144894624104,-0.2951583749770283,-0.1107011070110701
