entry_step,exit_step,entry_date,exit_date,type,entry_price,exit_price,position_size,notional_size,pnl_usd,pnl_pct,fee,net_pnl
144,145,2001-12-17,2001-12-18,LONG,277.2242890511294,277.3324765646184,1499.7216476646272,7498.608238323136,14.631758687323753,0.9756316253825094,1.4997216476646273,13.132037039659126
146,148,2001-12-19,2001-12-21,LONG,277.3034516191045,277.3163689910299,1501.691453220576,7508.45726610288,1.748797833667228,0.11645520322544953,1.501691453220576,0.247106380446652
150,152,2001-12-25,2001-12-27,LONG,277.3984391197795,277.458753602211,1501.728519177643,7508.642595888215,8.162985584405682,0.5435726551211659,1.501728519177643,6.661257065228039
153,154,2001-12-28,2001-12-31,LONG,277.4382487572243,277.493086311079,1502.7277077374272,7513.638538687136,7.42560839855111,0.4941419766413592,1.5027277077374273,5.922880690813683
155,156,2002-01-01,2002-01-02,LONG,277.53065358664395,277.57638953455603,1503.616139841049,7518.080699205246,6.1947489910390106,0.41199005696320024,1.5036161398410492,4.6911328511979615
161,162,2002-01-09,2002-01-10,LONG,277.956315052283,278.22536469295574,1504.3198097687286,7521.599048843644,36.402905992531686,2.419891419107763,1.5043198097687287,34.898586182762955
168,169,2002-01-18,2002-01-21,LONG,279.4876891081632,279.5907905123253,1509.5545976961432,7547.772988480716,13.921650643945133,0.9222356491903055,1.5095545976961433,12.41209604624899
172,173,2002-01-24,2002-01-25,LONG,279.6526995699449,279.6354958401013,1511.4164121030808,7557.082060515404,-2.3244903119967617,-0.1537954923198378,1.5114164121030809,-3.835906724099843
175,177,2002-01-29,2002-01-31,LONG,279.68059191003186,279.8567815000467,1510.8410260944659,7554.205130472329,23.794506006585525,1.5749179162876241,1.5108410260944658,22.28366498049106
178,179,2002-02-01,2002-02-04,LONG,280.06356316332267,280.4195420357707,1514.1835758415396,7570.917879207698,48.11562738822323,3.1776614246711765,1.5141835758415396,46.60144381238169
180,183,2002-02-05,2002-02-08,LONG,280.9605388442254,282.80798829062604,1521.173792413397,7605.868962066985,250.0610666033232,16.43869147959697,1.521173792413397,248.5398928109098
186,189,2002-02-13,2002-02-18,LONG,284.35817341358836,285.6571855249896,1558.4547763350333,7792.273881675166,177.98430103377112,11.420562453042809,1.5584547763350334,176.4258462574361
194,195,2002-02-25,2002-02-26,LONG,286.69584295959373,287.04770439464437,1584.9186532736487,7924.593266368243,48.62921502649637,3.068246747304838,1.5849186532736488,47.04429637322272
196,198,2002-02-27,2002-03-01,LONG,287.34503611320724,287.9742824191766,1591.975297729632,7959.87648864816,87.15520101207997,5.474657875431538,1.5919752977296322,85.56322571435034
200,201,2002-03-05,2002-03-06,LONG,288.45573141215095,288.62208101326627,1604.8097815867848,8024.048907933924,23.13695291527069,1.4417255665274926,1.6048097815867848,21.532143133683906
203,205,2002-03-08,2002-03-12,LONG,288.70049463552846,288.93178326981257,1608.0396030568374,8040.198015284187,32.20649865315579,2.0028423797481203,1.6080396030568376,30.598459050098953
208,210,2002-03-15,2002-03-19,LONG,289.1882245722096,289.4282467684152,1612.629371914352,8063.146859571761,33.4614976184714,2.074965159461858,1.6126293719143523,31.848868246557046
